Unique Key,Created Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Status,Borough,Latitude,Longitude
37382970,10/9/17 0:21,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10040,Assigned,MANHATTAN,40.86038172,-73.92806937
37382172,10/9/17 0:22,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Horn,Store/Commercial,11209,Assigned,BROOKLYN,40.62533481,-74.02865363
37382414,10/9/17 0:22,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11213,Closed,BROOKLYN,40.67158202,-73.93269622
37381272,10/9/17 0:23,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10026,Open,MANHATTAN,40.80110582,-73.95253202
37382145,10/9/17 0:24,DOT,Department of Transportation,Street Sign - Missing,Speed Limit,Street,,Open,QUEENS,,
37382302,10/9/17 0:24,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11209,Assigned,BROOKLYN,40.63452234,-74.02560951
37382088,10/9/17 0:24,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10003,Closed,MANHATTAN,40.73141011,-73.99697276
37382694,10/9/17 0:25,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11210,Assigned,BROOKLYN,40.62602322,-73.94674131
37381717,10/9/17 0:25,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11217,Closed,BROOKLYN,40.68716729,-73.97475969
37380869,10/9/17 0:25,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10469,Open,BRONX,40.86403007,-73.85778663
37383260,10/9/17 0:25,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11225,Open,BROOKLYN,40.66500625,-73.95712736
37381942,10/9/17 0:26,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11420,Open,QUEENS,40.68344414,-73.81796253
37379521,10/9/17 0:27,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11211,Closed,BROOKLYN,40.71281939,-73.95511268
37379533,10/9/17 0:27,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11106,Closed,QUEENS,40.76205237,-73.92862318
37380129,10/9/17 0:28,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10458,Closed,BRONX,40.87122675,-73.88222089
37378874,10/9/17 0:28,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10009,Closed,MANHATTAN,40.72380192,-73.97593998
37380542,10/9/17 0:28,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,Assigned,BRONX,40.85354567,-73.91729026
37379345,10/9/17 0:29,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031,Closed,MANHATTAN,40.82917736,-73.94909728
37380145,10/9/17 0:29,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10010,Assigned,MANHATTAN,40.74091496,-73.99208259
